,powerPlay,AverageScore,battingTeam,bowlingTeam,city,delivery_left,score,CurrentRunRate,wicketsLeft,Run_In_Last5,Wickets_In_Last5,Final_Score,innings
98933,0,149.28571428571428,Australia,South Africa,Cape Town,17,130,7.572815533980582,6,32.0,1.0,147,2
108535,0,125.15789473684211,West Indies,Bangladesh,Dhaka,63,91,9.578947368421053,7,32.0,1.0,175,2
66390,0,87.0,West Indies,India,Providence,22,110,6.734693877551021,5,38.0,2.0,146,1
126661,0,129.41666666666666,Zimbabwe,Afghanistan,Abu Dhabi,1,130,6.5546218487394965,5,51.0,0.0,136,2
104346,0,149.27586206896552,Sri Lanka,Pakistan,Johannesburg,44,111,8.763157894736842,6,32.0,1.0,156,2
120130,0,135.609756097561,India,Bangladesh,Colombo,50,87,7.457142857142857,8,32.0,0.0,140,2
49882,0,168.66666666666666,England,New Zealand,Auckland,17,191,11.12621359223301,6,57.0,1.0,214,1
138453,1,128.66666666666666,Sri Lanka,India,Pune,84,31,5.166666666666667,6,26.0,3.0,123,2
167921,0,145.2,Australia,South Africa,Brisbane,69,45,5.294117647058823,8,24.0,2.0,161,2
86061,0,169.75,Zimbabwe,Afghanistan,Bulawayo,69,90,10.588235294117647,7,64.0,2.0,190,1
3089,0,154.71428571428572,Sri Lanka,West Indies,Bengaluru,12,109,6.055555555555555,4,38.0,1.0,122,1
142644,0,130.71428571428572,India,Sri Lanka,Nagpur,42,123,9.461538461538462,4,30.0,5.0,186,2
94358,0,148.91666666666666,Australia,Pakistan,St Lucia,23,137,8.474226804123711,5,47.0,1.0,197,2
119605,0,135.609756097561,India,Bangladesh,Colombo,3,157,8.051282051282051,5,47.0,1.0,168,2
132308,0,141.33333333333334,Pakistan,Zimbabwe,Rawalpindi,59,86,8.459016393442623,8,44.0,1.0,157,2
174571,0,137.0,Pakistan,Sri Lanka,King City,5,126,6.57391304347826,3,43.0,2.0,141,2
2030,0,154.0,Australia,Pakistan,St Lucia,63,85,8.947368421052632,8,45.0,2.0,191,1
106022,0,149.27586206896552,South Africa,West Indies,Johannesburg,30,85,5.666666666666667,4,26.0,2.0,134,2
70734,1,166.28571428571428,India,Ireland,Dublin,90,50,10.0,10,50.0,0.0,208,1
35740,0,168.44444444444446,Australia,England,Southampton,8,137,7.3392857142857135,4,45.0,1.0,157,1
36606,0,146.41666666666666,Sri Lanka,Pakistan,Abu Dhabi,6,117,6.157894736842105,2,22.0,7.0,124,1
114106,0,162.58333333333334,India,New Zealand,Hamilton,33,144,9.931034482758621,6,44.0,2.0,208,2
168936,0,151.0,India,England,Birmingham,5,170,8.869565217391305,5,39.0,2.0,177,2
71536,0,181.5,India,New Zealand,Christchurch,37,101,7.301204819277108,3,37.0,2.0,162,1
109496,0,125.15789473684211,Bangladesh,Zimbabwe,Dhaka,44,102,8.052631578947368,4,47.0,2.0,148,2
129484,0,131.0,Australia,Sri Lanka,Melbourne,58,63,6.096774193548387,8,37.0,0.0,119,2
38943,0,146.41666666666666,Bangladesh,South Africa,Abu Dhabi,31,58,3.9101123595505616,4,20.0,1.0,84,1
20496,0,145.89473684210526,New Zealand,Bangladesh,Dhaka,33,66,4.551724137931035,5,23.0,3.0,93,1
77796,0,180.0,Ireland,Afghanistan,Greater Noida,10,125,6.818181818181818,2,21.0,4.0,142,1
113884,0,162.58333333333334,New Zealand,Pakistan,Hamilton,11,156,8.587155963302752,9,33.0,0.0,164,2
6078,1,156.9047619047619,South Africa,England,Cape Town,90,50,10.0,9,50.0,1.0,179,1
56003,0,155.71428571428572,Afghanistan,West Indies,Nagpur,61,51,5.186440677966101,7,20.0,2.0,123,1
62345,0,178.0,Zimbabwe,South Africa,Potchefstroom,32,86,5.863636363636364,6,30.0,1.0,132,1
84818,0,171.66666666666666,Australia,West Indies,Gros Islet,77,78,10.883720930232558,9,58.0,0.0,189,1
